arm,label,size,pos,neg,neg_frac,empty
single-matched,Single layer / matched budget,115,47,64,0.571,0.000
single-rf,Single layer / 9x9 patch (matched RF),109,43,67,0.604,0.000
single-l1,Layer 1 alone,85,32,47,0.574,0.000
mctm,MCTM / greedy layer 1,1177,15,1163,0.974,0.000
mctm-random,MCTM / random layer 1,155,20,135,0.871,0.000
flat-stack,Flat stack (global OR),49,0,49,1.000,0.000
mctm-auto,A: MCTM / autoencoder layer 1,588,3,586,0.994,0.000
flat-auto,A: flat stack / autoencoder layer 1,128,128,1,0.013,0.000
flat-random,flat stack / random layer 1,63,60,3,0.059,0.000
mctm-calib-r005,B: density target 0.5,1174,12,1163,0.989,0.000
mctm-calib-r01,B: density target 1,1174,9,1159,0.991,0.000
mctm-calib-r02,B: density target 2,1165,8,1153,0.992,0.000
mctm-calib-r05,B: density target 5,850,9,840,0.990,0.000
mctm-calib-r10,B: density target 10,550,4,546,0.991,0.000
mctm-calib-r20,B: density target 20,375,2,372,0.990,0.000
mctm-calib-r20-tight,B: density target 20 / tight band,717,38,689,0.946,0.000
mctm-size-k24,B: + size target 24,840,44,802,0.933,0.000
mctm-size-k12,B: + size target 12,700,41,664,0.898,0.000
mctm-size-k6,B: + size target 6,247,41,214,0.707,0.000
mctm-size-k3,B: + size target 3,90,68,18,0.288,0.000
mctm-auto-calib,A+B: autoencoder + calibrated,489,2,487,0.992,0.000
mctm-rc-r05,B: random L1 / density target 5,142,8,134,0.932,0.000
mctm-rc-r10,B: random L1 / density target 10,99,10,88,0.893,0.000
mctm-random-calib,B: random L1 / density target 20,68,16,51,0.749,0.000
mctm-rc-r40,B: random L1 / density target 40,71,45,27,0.390,0.000
mctm-rc-r60,B: random L1 / density target 60,71,52,18,0.287,0.000
mctm-credit-ia,C: credit / Type Ia+II only,1176,13,1164,0.984,0.000
mctm-credit-ib,C: credit / + blaming Type Ib,1178,16,1163,0.962,0.000
mctm-credit-bal,C: credit / + Ib balanced,1176,14,1164,0.979,0.000
mctm-credit-warm,C: warm start (no controller),1177,15,1163,0.968,0.000
mctm-credit-cal-p1,B+C: controller / step 1.0,1131,7,1123,0.993,0.000
mctm-credit-cal,B+C: controller / step 0.1,1067,5,1059,0.995,0.000
mctm-credit-cal-p001,B+C: controller / step 0.01,1057,5,1051,0.995,0.000
mctm-auto-credit,A+B+C: all three,1150,9,1139,0.992,0.000
